user_id,age,subscription_plan,monthly_watch_time_mins,country,favorite_genre,last_login_date,customer_support_tickets,days_since_last_login
10000,39.0,Estándar,805.8,Brasil,Crimen,2025-03-04,1.0,487.0
10001,37.0,Estándar,1173.4,Colombia,Crimen,2019-04-02,2.0,2650.0
10002,28.0,Básico,401.0,Colombia,Crimen,2018-04-13,0.0,3004.0
10003,43.0,Básico,62.4,Uruguay,Thriller,2021-01-31,0.0,1980.0
10004,51.0,Básico,477.8,Perú,Thriller,2020-09-30,1.0,2103.0
10005,20.0,Básico,670.2,Uruguay,Drama,2020-07-03,2.0,2192.0
10006,37.0,Básico,346.6,Perú,Thriller,2019-07-26,1.0,2535.0
10007,31.0,Estándar,974.6,Chile,Acción,2019-02-24,1.0,2687.0
10008,36.0,Premium,1432.2,Colombia,Romance,2025-08-03,2.0,335.0
10009,37.0,Estándar,1375.4,Argentina,Thriller,2024-02-12,1.0,873.0
10010,23.0,Básico,385.7,Argentina,Drama,2018-12-23,0.0,2750.0
10011,46.0,Estándar,1148.0,Brasil,Comedia,2024-08-15,0.0,688.0
10012,15.0,Básico,901.9,Perú,Acción,2022-09-25,0.0,1378.0
10013,43.0,Premium,1584.0,Argentina,Documental,2018-05-11,0.0,2976.0
10014,45.0,Estándar,1104.6,Perú,Acción,2018-05-03,1.0,2984.0
10015,29.0,Básico,530.5,Perú,Romance,2019-01-19,1.0,2723.0
10016,24.0,Estándar,985.7,Perú,Documental,2020-06-14,0.0,2211.0
10017,35.0,Estándar,1044.6,Uruguay,Comedia,2020-08-10,1.0,2154.0
10018,32.0,Básico,244.3,Uruguay,Acción,2023-09-01,1.0,1037.0
10019,30.0,Premium,874.3,Argentina,Drama,2024-10-01,1.0,641.0
10020,17.0,Básico,223.9,México,Drama,2018-04-19,1.0,2998.0
10021,23.0,Básico,288.4,Argentina,Thriller,2024-04-17,0.0,808.0
10022,33.0,Básico,14.5,Argentina,Drama,2020-03-25,0.0,2292.0
10023,33.0,Básico,660.4,Argentina,Drama,2025-04-15,0.0,445.0
10024,33.0,Premium,776.0,Perú,Thriller,2025-11-12,0.0,234.0
10025,18.0,Premium,4087.7,Brasil,Thriller,2024-02-11,1.0,874.0
10026,40.0,Básico,723.9,México,Acción,2022-09-15,2.0,1388.0
10027,42.0,Premium,845.5,Uruguay,Romance,2020-06-21,0.0,2204.0
10028,22.0,Premium,1127.0,Argentina,Documental,2023-01-14,0.0,1267.0
10029,29.0,Estándar,1028.0,Chile,Drama,2024-08-10,1.0,693.0
10030,46.0,Básico,598.8,Argentina,Desconocido,2021-02-13,3.0,1967.0
10031,44.0,Básico,1122.4,Argentina,Documental,2018-01-27,1.0,3080.0
10032,32.0,Básico,0.0,Brasil,Drama,2019-10-16,0.0,2453.0
10033,33.0,Básico,427.3,Perú,Documental,2025-10-30,1.0,247.0
10034,31.0,Básico,308.8,Colombia,Acción,2022-09-28,1.0,1375.0
10035,37.0,Estándar,1114.7,Colombia,Drama,2021-10-25,1.0,1713.0
10036,41.0,Básico,275.7,México,Drama,2021-02-12,0.0,1968.0
10037,33.0,Básico,611.0,Colombia,Documental,2019-09-29,2.0,2470.0
10038,59.0,Premium,1127.0,Uruguay,Romance,2020-05-31,0.0,2225.0
10039,26.0,Estándar,589.7,Chile,Drama,2021-10-10,0.0,1728.0
10040,20.0,Básico,994.7,Chile,Comedia,2019-02-23,0.0,2688.0
10041,39.0,Básico,1119.3,Chile,Documental,2019-01-15,0.0,2727.0
10042,25.0,Básico,612.5,Uruguay,Crimen,2022-04-06,0.0,1550.0
10043,32.0,Básico,330.1,México,Romance,2019-02-01,0.0,2710.0
10044,15.0,Estándar,1490.1,México,Drama,2022-01-10,0.0,1636.0
10045,29.0,Básico,740.6,Perú,Acción,2021-11-09,1.0,1698.0
10046,27.0,Premium,1398.6,Perú,Thriller,2024-10-08,1.0,634.0
10047,53.0,Básico,313.4,Brasil,Comedia,2020-12-19,1.0,2023.0
10048,26.0,Básico,822.8,Perú,Comedia,2018-06-27,0.0,2929.0
10049,33.0,Básico,1081.6,Argentina,Romance,2023-02-25,0.0,1225.0
10050,55.0,Estándar,979.6,Brasil,Drama,2024-01-06,2.0,910.0
10051,18.0,Básico,1140.0,México,Crimen,2019-05-27,0.0,2595.0
10052,25.0,Básico,465.7,Colombia,Acción,2022-03-31,1.0,1556.0
10053,27.0,Estándar,1201.0,Brasil,Romance,,0.0,
10054,34.0,Estándar,1091.9,Brasil,Thriller,2024-03-11,4.0,845.0
10055,41.0,Estándar,1180.4,Argentina,Desconocido,2021-04-15,2.0,1906.0
10056,40.0,Básico,889.4,Brasil,Crimen,2025-01-18,0.0,532.0
10057,28.0,Estándar,814.3,Perú,Drama,2024-12-08,1.0,573.0
10058,20.0,Básico,960.2,Perú,Thriller,,1.0,
10059,39.0,Estándar,2976.6,Brasil,Drama,2024-06-22,1.0,742.0
10060,26.0,Básico,672.5,Perú,Acción,2020-02-27,1.0,2319.0
10061,47.0,Básico,824.5,Colombia,Drama,2025-11-25,1.0,221.0
10062,15.0,Básico,280.3,Uruguay,Thriller,2018-10-12,2.0,2822.0
10063,35.0,Estándar,935.6,Chile,Romance,2018-07-07,0.0,2919.0
10064,36.0,Estándar,592.5,Brasil,Thriller,2025-06-01,2.0,398.0
10065,37.0,Estándar,1386.1,Perú,Thriller,2020-07-22,3.0,2173.0
10066,16.0,Básico,427.3,México,Desconocido,2021-03-31,0.0,1921.0
10067,15.0,Estándar,875.3,Brasil,Drama,2018-11-23,1.0,2780.0
10068,36.0,Básico,814.4,Uruguay,Romance,2020-08-11,1.0,2153.0
10069,21.0,Básico,816.2,Colombia,Documental,,0.0,
10070,51.0,Estándar,237.2,Brasil,Romance,2022-04-06,2.0,1550.0
10071,32.0,Básico,678.5,Argentina,Acción,2021-02-12,0.0,1968.0
10072,13.0,Básico,741.7,Brasil,Documental,2023-02-01,1.0,1249.0
10073,28.0,Básico,619.5,Argentina,Acción,2025-02-16,0.0,503.0
10074,51.0,Premium,925.5,Chile,Acción,2022-02-03,1.0,1612.0
10075,23.0,Estándar,658.2,Chile,Thriller,2019-10-29,1.0,2440.0
10076,38.0,Básico,1150.4,Uruguay,Crimen,,1.0,
10077,18.0,Premium,4188.7,Chile,Documental,2021-12-26,0.0,1651.0
10078,33.0,Premium,1059.7,Perú,Drama,2020-05-08,0.0,2248.0
10079,26.0,Premium,1127.0,Argentina,Crimen,2025-07-08,0.0,361.0
10080,38.0,Estándar,1461.7,México,Crimen,2020-12-29,1.0,2013.0
10081,26.0,Básico,983.9,Argentina,Desconocido,,0.0,
10082,23.0,Premium,935.3,Chile,Thriller,2025-08-31,0.0,307.0
10083,33.0,Estándar,713.7,México,Documental,2025-04-08,0.0,452.0
10084,27.0,Básico,1362.6,Brasil,Crimen,2018-10-20,3.0,2814.0
10085,34.0,Estándar,926.9,Perú,Documental,2024-10-31,0.0,611.0
10086,38.0,Estándar,1400.0,Perú,Desconocido,2025-02-13,0.0,506.0
